#cluster size degeneracy contacts threshold density metric
0 20 0 1.30 1.7500 1.0 -
1 2 0 1.40 1.7500 1.0 -
2 9 0 1.20 1.7500 1.0 -
3 3 0 1.20 1.7500 1.0 -
4 3 0 1.40 1.7500 1.0 -
5 2 0 1.20 1.7500 1.0 -
6 4 0 1.10 1.7500 1.0 -
7 4 0 1.20 1.7500 1.0 -
8 3 0 1.20 1.7500 1.0 -
9 6 0 1.30 1.7500 1.0 -
10 3 0 1.40 1.7500 1.0 -
11 8 0 1.20 1.7500 1.0 -
12 11 0 1.00 2.5000 1.0 -
13 2 0 1.20 1.7500 1.0 -
14 6 0 1.10 1.7500 1.0 -
15 2 0 1.20 1.7500 1.0 -
16 3 0 1.20 1.7500 1.0 -
17 4 0 1.20 1.7500 1.0 -
18 5 0 1.20 1.7500 1.0 -
19 9 0 0.80 2.5000 1.0 -
20 3 0 1.50 1.7500 1.0 -
21 2 0 1.40 1.7500 1.0 -
22 4 0 1.60 1.7500 1.0 -
23 2 0 1.50 1.7500 1.0 -
24 3 0 1.70 1.7500 1.0 -
25 2 0 1.70 1.7500 1.0 -
26 6 0 1.00 2.5000 1.0 -
27 2 0 1.10 1.7500 1.0 -
28 2 0 1.10 1.7500 1.0 -
29 4 0 1.00 2.5000 1.0 -
30 3 0 1.30 1.7500 1.0 -
31 3 0 1.20 1.7500 1.0 -
32 2 0 1.10 1.7500 1.0 -
33 3 0 1.30 1.7500 1.0 -
34 20 0 0.60 4.0000 1.0 -
35 3 0 1.40 1.7500 1.0 -
36 2 0 1.40 1.7500 1.0 -
37 2 0 1.30 1.7500 1.0 -
38 4 0 1.20 1.7500 1.0 -
39 8 0 0.90 2.5000 1.0 -
40 3 0 1.20 1.7500 1.0 -
41 2 0 1.50 1.7500 1.0 -
42 3 0 1.10 1.7500 1.0 -
43 2 0 1.20 1.7500 1.0 -
44 2 0 1.20 1.7500 1.0 -
45 4 0 0.90 2.5000 1.0 -
46 3 0 1.50 1.7500 1.0 -
47 2 0 1.50 1.7500 1.0 -
48 2 0 0.80 2.5000 1.0 -
49 2 0 1.30 1.7500 1.0 -
50 2 0 1.20 1.7500 1.0 -
51 3 0 1.30 1.7500 1.0 -
52 4 0 0.70 2.5000 1.0 -
53 12 0 1.00 2.5000 1.0 -
54 2 0 1.20 1.7500 1.0 -
55 2 0 1.10 1.7500 1.0 -
56 3 0 1.10 1.7500 1.0 -
57 2 0 1.10 1.7500 1.0 -
58 5 0 1.00 2.5000 1.0 -
59 2 0 1.50 1.7500 1.0 -
60 3 0 1.10 1.7500 1.0 -
61 2 0 1.00 2.5000 1.0 -
62 2 0 1.20 1.7500 1.0 -
63 4 0 1.10 1.7500 1.0 -
64 3 0 1.20 1.7500 1.0 -
65 2 0 1.10 1.7500 1.0 -
66 5 0 0.90 2.5000 1.0 -
67 1 1 1.20 1.7500 1.0 -
68 1 1 0.90 2.5000 1.0 -
69 1 1 0.70 2.5000 1.0 -
70 1 1 0.90 2.5000 1.0 -
71 1 1 1.20 1.7500 1.0 -
72 1 1 1.10 1.7500 1.0 -
73 1 1 1.30 1.7500 1.0 -
74 1 1 0.70 2.5000 1.0 -
75 1 1 1.40 1.7500 1.0 -
76 1 1 1.30 1.7500 1.0 -
77 2 0 1.10 1.7500 1.0 -
78 3 0 0.80 2.5000 1.0 -
79 1 1 1.30 1.7500 1.0 -
80 1 1 1.30 1.7500 1.0 -
81 1 1 1.60 1.7500 1.0 -
82 1 1 1.50 1.7500 1.0 -
83 1 1 1.20 1.7500 1.0 -
84 3 0 1.00 2.5000 1.0 -
