#cluster size degeneracy contacts threshold density metric
0 30 0 2.17 1.7500 1.0 -
1 9 0 2.00 1.7500 1.0 -
2 3 0 1.50 1.7500 1.0 -
3 2 1 1.50 1.7500 1.0 -
4 5 0 1.00 2.5000 1.0 -
5 18 0 2.00 1.7500 1.0 -
6 3 0 1.83 1.7500 1.0 -
7 20 0 2.00 1.7500 1.0 -
8 15 0 2.00 1.7500 1.0 -
9 8 0 1.83 1.7500 1.0 -
10 12 0 1.83 1.7500 1.0 -
11 3 0 2.50 1.7500 1.0 -
12 20 0 1.83 1.7500 1.0 -
13 8 0 2.50 1.7500 1.0 -
14 6 0 2.17 1.7500 1.0 -
15 9 0 1.67 1.7500 1.0 -
16 3 0 2.17 1.7500 1.0 -
17 6 0 1.67 1.7500 1.0 -
18 5 0 1.67 1.7500 1.0 -
19 5 0 1.83 1.7500 1.0 -
20 8 0 2.00 1.7500 1.0 -
21 3 0 1.50 1.7500 1.0 -
22 7 0 2.00 1.7500 1.0 -
23 4 0 1.83 1.7500 1.0 -
24 6 0 2.17 1.7500 1.0 -
25 4 0 1.83 1.7500 1.0 -
26 3 0 1.83 1.7500 1.0 -
27 3 0 2.33 1.7500 1.0 -
28 6 0 1.83 1.7500 1.0 -
29 3 0 2.00 1.7500 1.0 -
30 4 0 1.67 1.7500 1.0 -
31 3 0 1.67 1.7500 1.0 -
32 4 0 2.17 1.7500 1.0 -
33 3 0 2.17 1.7500 1.0 -
34 8 0 2.17 1.7500 1.0 -
35 6 0 2.17 1.7500 1.0 -
36 6 0 2.33 1.7500 1.0 -
37 13 0 2.50 1.7500 1.0 -
38 5 0 2.83 1.7500 1.0 -
39 4 0 1.50 1.7500 1.0 -
40 13 0 1.33 1.7500 1.0 -
41 4 0 1.67 1.7500 1.0 -
42 6 0 1.50 1.7500 1.0 -
43 5 0 1.33 1.7500 1.0 -
44 14 0 0.83 2.5000 1.0 -
45 24 0 1.00 2.5000 1.0 -
46 3 0 1.50 1.7500 1.0 -
47 5 0 2.50 1.7500 1.0 -
48 5 0 2.50 1.7500 1.0 -
49 10 0 2.67 1.7500 1.0 -
50 3 0 2.33 1.7500 1.0 -
51 3 0 1.67 1.7500 1.0 -
52 9 0 1.67 1.7500 1.0 -
53 3 0 1.33 1.7500 1.0 -
54 4 0 1.50 1.7500 1.0 -
55 3 0 1.83 1.7500 1.0 -
56 6 0 1.67 1.7500 1.0 -
57 5 0 2.50 1.7500 1.0 -
58 3 0 2.00 1.7500 1.0 -
59 6 0 1.50 1.7500 1.0 -
60 4 0 2.00 1.7500 1.0 -
61 5 0 1.83 1.7500 1.0 -
62 4 0 1.67 1.7500 1.0 -
63 5 0 1.50 1.7500 1.0 -
64 6 0 1.33 1.7500 1.0 -
65 8 0 1.67 1.7500 1.0 -
66 10 0 1.00 2.5000 1.0 -
67 4 0 1.17 1.7500 1.0 -
68 4 0 1.83 1.7500 1.0 -
69 4 0 1.67 1.7500 1.0 -
70 4 0 1.17 1.7500 1.0 -
71 4 0 1.83 1.7500 1.0 -
72 5 0 1.83 1.7500 1.0 -
73 4 0 1.50 1.7500 1.0 -
74 3 0 1.67 1.7500 1.0 -
75 4 0 2.83 1.7500 1.0 -
76 8 0 2.83 1.7500 1.0 -
77 6 0 2.17 1.7500 1.0 -
78 10 0 2.17 1.7500 1.0 -
79 7 0 2.00 1.7500 1.0 -
80 4 0 1.50 1.7500 1.0 -
81 4 0 1.00 2.5000 1.0 -
82 4 0 2.33 1.7500 1.0 -
83 4 0 2.33 1.7500 1.0 -
84 6 0 2.50 1.7500 1.0 -
85 4 0 1.33 1.7500 1.0 -
86 3 0 2.17 1.7500 1.0 -
87 7 0 1.50 1.7500 1.0 -
88 6 0 1.50 1.7500 1.0 -
89 4 0 1.67 1.7500 1.0 -
90 3 0 1.17 1.7500 1.0 -
91 6 0 1.33 1.7500 1.0 -
92 8 0 2.33 1.7500 1.0 -
93 12 0 0.50 4.0000 1.0 -
94 2 1 1.17 1.7500 1.0 -
95 3 0 2.00 1.7500 1.0 -
96 3 0 1.33 1.7500 1.0 -
97 3 0 1.50 1.7500 1.0 -
98 8 0 1.00 2.5000 1.0 -
99 3 0 2.17 1.7500 1.0 -
100 3 0 1.83 1.7500 1.0 -
101 3 0 1.67 1.7500 1.0 -
102 6 0 2.17 1.7500 1.0 -
103 2 1 2.17 1.7500 1.0 -
104 3 0 2.33 1.7500 1.0 -
105 2 0 2.67 1.7500 1.0 -
106 4 0 2.67 1.7500 1.0 -
107 2 0 1.67 1.7500 1.0 -
108 3 0 2.00 1.7500 1.0 -
109 2 1 1.50 1.7500 1.0 -
110 2 0 2.17 1.7500 1.0 -
111 2 1 3.00 1.7500 1.0 -
112 2 1 2.00 1.7500 1.0 -
113 3 0 1.17 1.7500 1.0 -
114 5 0 1.00 2.5000 1.0 -
115 1 1 1.67 1.7500 1.0 -
116 3 0 2.00 1.7500 1.0 -
117 1 1 3.00 1.7500 1.0 -
118 1 1 2.00 1.7500 1.0 -
119 1 1 2.33 1.7500 1.0 -
120 1 1 1.67 1.7500 1.0 -
121 1 1 1.50 1.7500 1.0 -
122 1 1 2.00 1.7500 1.0 -
123 1 1 2.50 1.7500 1.0 -
124 1 1 1.67 1.7500 1.0 -
