#cluster size degeneracy contacts threshold density metric
0 37 0 0.87 2.5000 1.0 -
1 45 0 0.53 4.0000 1.0 -
2 6 0 0.93 2.5000 1.0 -
3 9 0 1.00 2.5000 1.0 -
4 5 0 1.00 2.5000 1.0 -
5 10 0 0.93 2.5000 1.0 -
6 6 0 1.07 1.7500 1.0 -
7 38 0 0.47 4.0000 1.0 -
8 6 0 0.73 2.5000 1.0 -
9 9 0 0.67 2.5000 1.0 -
10 6 0 0.73 2.5000 1.0 -
11 13 0 0.80 2.5000 1.0 -
12 5 0 0.67 2.5000 1.0 -
13 10 0 1.07 1.7500 1.0 -
14 5 0 1.20 1.7500 1.0 -
15 4 1 1.07 1.7500 1.0 -
16 16 0 0.60 4.0000 1.0 -
17 7 0 0.67 2.5000 1.0 -
18 5 0 0.67 2.5000 1.0 -
19 14 0 0.53 4.0000 1.0 -
20 5 0 0.60 4.0000 1.0 -
21 14 0 0.33 6.0000 1.0 -
22 6 0 0.60 4.0000 1.0 -
23 8 0 0.93 2.5000 1.0 -
24 7 0 1.13 1.7500 1.0 -
25 5 0 1.07 1.7500 1.0 -
26 5 0 0.73 2.5000 1.0 -
27 4 1 1.07 1.7500 1.0 -
28 7 0 1.33 1.7500 1.0 -
29 4 1 1.13 1.7500 1.0 -
30 5 0 1.27 1.7500 1.0 -
31 6 0 0.80 2.5000 1.0 -
32 5 0 1.27 1.7500 1.0 -
33 5 0 1.27 1.7500 1.0 -
34 5 0 0.73 2.5000 1.0 -
35 8 0 0.47 4.0000 1.0 -
36 3 1 1.00 2.5000 1.0 -
37 3 1 1.20 1.7500 1.0 -
38 1 2 1.00 2.5000 1.0 -
39 1 2 1.20 1.7500 1.0 -
40 2 1 0.87 2.5000 1.0 -
41 1 2 1.27 1.7500 1.0 -
42 1 2 0.87 2.5000 1.0 -
43 2 1 1.00 2.5000 1.0 -
