#cluster size degeneracy contacts threshold density metric
0 22 0 1.30 1.7500 1.0 -
1 3 0 1.40 1.7500 1.0 -
2 14 0 1.20 1.7500 1.0 -
3 6 0 1.20 1.7500 1.0 -
4 3 0 1.40 1.7500 1.0 -
5 2 0 1.20 1.7500 1.0 -
6 4 0 1.10 1.7500 1.0 -
7 6 0 1.20 1.7500 1.0 -
8 3 0 1.20 1.7500 1.0 -
9 7 0 1.30 1.7500 1.0 -
10 5 0 1.40 1.7500 1.0 -
11 8 0 1.20 1.7500 1.0 -
12 16 0 1.00 2.5000 1.0 -
13 2 0 1.20 1.7500 1.0 -
14 6 0 1.10 1.7500 1.0 -
15 2 0 1.20 1.7500 1.0 -
16 3 0 1.20 1.7500 1.0 -
17 4 0 1.20 1.7500 1.0 -
18 5 0 1.20 1.7500 1.0 -
19 14 0 0.80 2.5000 1.0 -
20 3 0 1.50 1.7500 1.0 -
21 4 0 1.40 1.7500 1.0 -
22 4 0 1.60 1.7500 1.0 -
23 5 0 1.50 1.7500 1.0 -
24 3 0 1.70 1.7500 1.0 -
25 5 0 1.70 1.7500 1.0 -
26 7 0 1.00 2.5000 1.0 -
27 4 0 1.10 1.7500 1.0 -
28 4 0 1.10 1.7500 1.0 -
29 7 0 1.00 2.5000 1.0 -
30 3 0 1.30 1.7500 1.0 -
31 4 0 1.20 1.7500 1.0 -
32 3 0 1.10 1.7500 1.0 -
33 3 0 1.30 1.7500 1.0 -
34 52 0 0.60 4.0000 1.0 -
35 3 0 1.40 1.7500 1.0 -
36 3 0 1.40 1.7500 1.0 -
37 2 1 1.30 1.7500 1.0 -
38 4 0 1.20 1.7500 1.0 -
39 8 0 0.90 2.5000 1.0 -
40 4 0 1.20 1.7500 1.0 -
41 3 0 1.50 1.7500 1.0 -
42 3 0 1.10 1.7500 1.0 -
43 4 0 1.20 1.7500 1.0 -
44 4 0 1.20 1.7500 1.0 -
45 16 0 0.90 2.5000 1.0 -
46 3 0 1.50 1.7500 1.0 -
47 3 0 1.50 1.7500 1.0 -
48 4 0 0.80 2.5000 1.0 -
49 5 0 1.30 1.7500 1.0 -
50 3 0 1.20 1.7500 1.0 -
51 3 0 1.30 1.7500 1.0 -
52 9 0 0.70 2.5000 1.0 -
53 26 0 1.00 2.5000 1.0 -
54 6 0 1.20 1.7500 1.0 -
55 5 0 1.10 1.7500 1.0 -
56 5 0 1.10 1.7500 1.0 -
57 4 0 1.10 1.7500 1.0 -
58 18 0 1.00 2.5000 1.0 -
59 5 0 1.50 1.7500 1.0 -
60 3 0 1.10 1.7500 1.0 -
61 5 0 1.00 2.5000 1.0 -
62 4 0 1.20 1.7500 1.0 -
63 4 0 1.10 1.7500 1.0 -
64 3 0 1.20 1.7500 1.0 -
65 3 0 1.10 1.7500 1.0 -
66 19 0 0.90 2.5000 1.0 -
67 3 0 1.20 1.7500 1.0 -
68 4 0 0.90 2.5000 1.0 -
69 6 0 0.70 2.5000 1.0 -
70 2 0 0.90 2.5000 1.0 -
71 2 1 1.20 1.7500 1.0 -
72 2 0 1.10 1.7500 1.0 -
73 3 0 1.30 1.7500 1.0 -
74 2 0 0.70 2.5000 1.0 -
75 2 1 1.40 1.7500 1.0 -
76 3 0 1.30 1.7500 1.0 -
77 8 0 1.10 1.7500 1.0 -
78 7 0 0.80 2.5000 1.0 -
79 4 0 1.30 1.7500 1.0 -
80 4 0 1.30 1.7500 1.0 -
81 3 0 1.60 1.7500 1.0 -
82 14 0 1.50 1.7500 1.0 -
83 3 0 1.20 1.7500 1.0 -
84 19 0 1.00 2.5000 1.0 -
85 19 0 0.60 4.0000 1.0 -
86 8 0 1.50 1.7500 1.0 -
87 5 0 1.50 1.7500 1.0 -
88 3 0 1.50 1.7500 1.0 -
89 4 0 1.50 1.7500 1.0 -
90 4 0 1.40 1.7500 1.0 -
91 3 0 1.40 1.7500 1.0 -
92 3 0 1.80 1.7500 1.0 -
93 2 0 0.90 2.5000 1.0 -
94 11 0 0.60 4.0000 1.0 -
95 2 1 1.00 2.5000 1.0 -
96 8 0 1.50 1.7500 1.0 -
97 2 1 1.30 1.7500 1.0 -
98 5 0 1.30 1.7500 1.0 -
99 2 1 1.80 1.7500 1.0 -
100 2 1 1.60 1.7500 1.0 -
101 4 0 1.90 1.7500 1.0 -
102 3 0 1.10 1.7500 1.0 -
103 6 0 1.00 2.5000 1.0 -
104 3 0 1.30 1.7500 1.0 -
105 2 0 1.20 1.7500 1.0 -
106 3 0 1.10 1.7500 1.0 -
107 5 0 0.80 2.5000 1.0 -
108 4 0 0.60 4.0000 1.0 -
109 3 0 1.10 1.7500 1.0 -
110 3 0 0.80 2.5000 1.0 -
111 3 0 0.80 2.5000 1.0 -
112 3 0 0.90 2.5000 1.0 -
113 2 0 1.50 1.7500 1.0 -
114 2 0 1.70 1.7500 1.0 -
115 2 0 1.50 1.7500 1.0 -
116 3 0 1.50 1.7500 1.0 -
117 4 0 1.30 1.7500 1.0 -
118 1 1 1.50 1.7500 1.0 -
119 3 0 1.20 1.7500 1.0 -
120 1 1 1.20 1.7500 1.0 -
121 1 1 1.70 1.7500 1.0 -
122 2 0 1.40 1.7500 1.0 -
123 1 1 1.70 1.7500 1.0 -
124 2 0 1.70 1.7500 1.0 -
125 2 0 1.50 1.7500 1.0 -
126 1 1 1.40 1.7500 1.0 -
127 1 1 0.70 2.5000 1.0 -
128 1 1 0.90 2.5000 1.0 -
129 1 1 0.60 4.0000 1.0 -
